Date,Close,Signal,Cash,Shares,Position_Value,Portfolio_Value
2022-10-14,138.3800048828125,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-10-17,142.41000366210938,Buy,0.0,93.69146644642248,13342.602079743423,13342.602079743423
2022-10-18,143.75,Hold,0.0,93.69146644642248,13468.14830167323,13468.14830167323
2022-10-19,143.86000061035156,Hold,0.0,93.69146644642248,13478.45442016707,13478.45442016707
2022-10-20,143.38999938964844,Hold,0.0,93.69146644642248,13434.419316567786,13434.419316567786
2022-10-21,147.27000427246094,Hold,0.0,93.69146644642248,13797.94266385777,13797.94266385777
2022-10-24,149.4499969482422,Hold,0.0,93.69146644642248,14002.189374494175,14002.189374494175
2022-10-25,152.33999633789062,Hold,0.0,93.69146644642248,14272.957655339604,14272.957655339604
2022-10-26,149.35000610351562,Hold,0.0,93.69146644642248,13992.821085620528,13992.821085620528
2022-10-27,144.8000030517578,Hold,0.0,93.69146644642248,13566.52462736564,13566.52462736564
2022-10-28,155.74000549316406,Buy,0.0,93.69146644642248,14591.509499028434,14591.509499028434
2022-10-31,153.33999633789062,Buy,0.0,93.69146644642248,14366.649121786026,14366.649121786026
2022-11-01,150.64999389648438,Hold,0.0,93.69146644642248,14114.618848306218,14114.618848306218
2022-11-02,145.02999877929688,Hold,0.0,93.69146644642248,13588.073264355187,13588.073264355187
2022-11-03,138.8800048828125,Hold,0.0,93.69146644642248,13011.871317557017,13011.871317557017
2022-11-04,138.3800048828125,Strong Sell,12952.060558749474,0.0,0.0,12952.060558749474
2022-11-07,138.9199981689453,Sell,12952.060558749474,0.0,0.0,12952.060558749474
2022-11-08,139.5,Sell,12952.060558749474,0.0,0.0,12952.060558749474
2022-11-09,134.8699951171875,Sell,12952.060558749474,0.0,0.0,12952.060558749474
2022-11-10,146.8699951171875,Hold,12952.060558749474,0.0,0.0,12952.060558749474
2022-11-11,149.6999969482422,Buy,0.0,86.43359226429602,12939.108498190724,12939.108498190724
2022-11-14,148.27999877929688,Buy,0.0,86.43359226429602,12816.372955440058,12816.372955440058
2022-11-15,150.0399932861328,Buy,0.0,86.43359226429602,12968.495603031317,12968.495603031317
2022-11-16,148.7899932861328,Buy,0.0,86.43359226429602,12860.453612700947,12860.453612700947
2022-11-17,150.72000122070312,Buy,0.0,86.43359226429602,13027.271131584454,13027.271131584454
2022-11-18,151.2899932861328,Buy,0.0,86.43359226429602,13076.537593361687,13076.537593361687
2022-11-21,148.00999450683594,Hold,0.0,86.43359226429602,12793.035516244552,12793.035516244552
2022-11-22,150.17999267578125,Hold,0.0,86.43359226429602,12980.59625319344,12980.59625319344
2022-11-23,151.07000732421875,Strong Buy,0.0,86.43359226429602,13057.523416425738,13057.523416425738
2022-11-25,148.11000061035156,Hold,0.0,86.43359226429602,12801.679403019762,12801.679403019762
2022-11-28,144.22000122070312,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-11-29,141.1699981689453,Strong Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-11-30,148.02999877929688,Hold,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-01,148.30999755859375,Hold,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-02,147.80999755859375,Hold,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-05,146.6300048828125,Hold,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-06,142.91000366210938,Hold,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-07,140.94000244140625,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-08,142.64999389648438,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-09,142.16000366210938,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-12,144.49000549316406,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-13,145.47000122070312,Hold,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-14,143.2100067138672,Hold,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-15,136.5,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-16,134.50999450683594,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-19,132.3699951171875,Strong Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-20,132.3000030517578,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-21,135.4499969482422,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-22,132.22999572753906,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-23,131.86000061035156,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-27,130.02999877929688,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-28,126.04000091552734,Hold,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-29,129.61000061035156,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2022-12-30,129.92999267578125,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2023-01-03,125.06999969482422,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2023-01-04,126.36000061035156,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2023-01-05,125.0199966430664,Sell,12452.987329084663,0.0,0.0,12452.987329084663
2023-01-06,129.6199951171875,Hold,12452.987329084663,0.0,0.0,12452.987329084663
2023-01-09,130.14999389648438,Buy,0.0,95.58613081188645,12440.534341755578,12440.534341755578
2023-01-10,130.72999572753906,Hold,0.0,95.58613081188645,12495.974472649905,12495.974472649905
2023-01-11,133.49000549316406,Hold,0.0,95.58613081188645,12759.793127149022,12759.793127149022
2023-01-12,133.41000366210938,Hold,0.0,95.58613081188645,12752.146061660636,12752.146061660636
2023-01-13,134.75999450683594,Hold,0.0,95.58613081188645,12881.186463139518,12881.186463139518
2023-01-17,135.94000244140625,Hold,0.0,95.58613081188645,12993.97885593242,12993.97885593242
2023-01-18,135.2100067138672,Hold,0.0,95.58613081188645,12924.201388827754,12924.201388827754
2023-01-19,135.27000427246094,Hold,0.0,95.58613081188645,12929.93632331189,12929.93632331189
2023-01-20,137.8699951171875,Hold,0.0,95.58613081188645,13178.45938830563,13178.45938830563
2023-01-23,141.11000061035156,Buy,0.0,95.58613081188645,13488.158977206442,13488.158977206442
2023-01-24,142.52999877929688,Buy,0.0,95.58613081188645,13623.891107935888,13623.891107935888
